year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE SALUD (INS),29997173076.0,1903,19,78.05,38433277483.66432
2013,INVERSION,INSTITUTO NACIONAL DE SALUD (INS),37395759708.0,1903,19,78.05,47912568491.99232
2013,FUNCIONAMIENTO,SUPERINTENDENCIA NACIONAL DE SALUD,72544600000.0,1910,19,78.05,92946316463.80525
2013,INVERSION,SUPERINTENDENCIA NACIONAL DE SALUD,31623727546.0,1910,19,78.05,40517267836.00256
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS - INVIMA,97653500000.0,1912,19,78.05,125116591928.25113
2013,INVERSION,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS - INVIMA,59990871333.0,1912,19,78.05,76862102925.04805
2013,FUNCIONAMIENTO,FONDO DE PREVISIÓN SOCIAL DEL CONGRESO ,318542901000.0,1913,19,78.05,408126714926.3293
2013,INVERSION,FONDO DE PREVISIÓN SOCIAL DEL CONGRESO ,636600000.0,1913,19,78.05,815631005.765535
2013,FUNCIONAMIENTO,FONDO PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA ,416498052456.0,1914,19,78.05,533629791743.754
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL COMISIÓN DE REGULACIÓN EN SALUD - CRES,10484091000.0,1915,19,78.05,13432531710.442024
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL COMISIÓN DE REGULACIÓN EN SALUD - CRES,6945000000.0,1915,19,78.05,8898142216.527866
2013,FUNCIONAMIENTO,MINISTERIO DE MINAS Y ENERGÍA,59648400000.0,2101,21,78.05,76423318385.65022
2013,INVERSION,MINISTERIO DE MINAS Y ENERGÍA,2596610450000.0,2101,21,78.05,3326855156950.673
2013,FUNCIONAMIENTO,SERVICIO GEOLÓGICO COLOMBIANO,36702300000.0,2103,21,78.05,47024087123.638695
2013,INVERSION,SERVICIO GEOLÓGICO COLOMBIANO,133653400000.0,2103,21,78.05,171240743113.38885
2013,FUNCIONAMIENTO,UNIDAD DE PLANEACIÓN MINERO ENERGÉTICA - UPME,10952601000.0,2109,21,78.05,14032800768.73799
2013,INVERSION,UNIDAD DE PLANEACIÓN MINERO ENERGÉTICA - UPME,30742260000.0,2109,21,78.05,39387905188.98142
2013,FUNCIONAMIENTO,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS - IPSE,22400200000.0,2110,21,78.05,28699807815.502884
2013,INVERSION,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS - IPSE,36668600000.0,2110,21,78.05,46980909673.286354
2013,FUNCIONAMIENTO,AGENCIA NACIONAL DE HIDROCARBUROS - ANH,251008863000.0,2111,21,78.05,321600080717.48883
2013,INVERSION,AGENCIA NACIONAL DE HIDROCARBUROS - ANH,313820000000.0,2111,21,78.05,402075592568.86615
2013,FUNCIONAMIENTO,AGENCIA NACIONAL DE MINERÍA - ANM,62949500000.0,2112,21,78.05,80652786675.2082
2013,INVERSION,AGENCIA NACIONAL DE MINERÍA - ANM,16408700000.0,2112,21,78.05,21023318385.650227
2013,FUNCIONAMIENTO,MINISTERIO DE EDUCACIÓN NACIONAL,23403735052458.0,2201,22,78.05,29985567011477.258
2013,INVERSION,MINISTERIO DE EDUCACIÓN NACIONAL,1496076676026.0,2201,22,78.05,1916818290872.5176
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL PARA SORDOS (INSOR),3557826459.0,2209,22,78.05,4558393925.688662
2013,INVERSION,INSTITUTO NACIONAL PARA SORDOS (INSOR),8259472410.0,2209,22,78.05,10582283677.130045
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL PARA CIEGOS (INCI),3676117399.0,2210,22,78.05,4709951824.471493
2013,INVERSION,INSTITUTO NACIONAL PARA CIEGOS (INCI),1543562139.0,2210,22,78.05,1977658089.6860988
2013,FUNCIONAMIENTO,ESCUELA TECNOLÓGICA INSTITUTO TÉCNICO CENTRAL,12710813248.0,2234,22,78.05,16285475013.452915
2013,INVERSION,ESCUELA TECNOLÓGICA INSTITUTO TÉCNICO CENTRAL,4069792971.0,2234,22,78.05,5214340770.019218
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN ANDRÉS Y PROVIDENCIA,2588567943.0,2238,22,78.05,3316550855.861627
2013,INVERSION,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN ANDRÉS Y PROVIDENCIA,786950000.0,2238,22,78.05,1008263933.376041
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN JUAN DEL CESAR,3265827018.0,2239,22,78.05,4184275487.508008
2013,INVERSION,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN JUAN DEL CESAR,1698315701.0,2239,22,78.05,2175932992.953235
2013,FUNCIONAMIENTO,INSTITUTO TOLIMENSE DE FORMACIÓN TÉCNICA PROFESIONAL,9748127797.0,2241,22,78.05,12489593590.006407
